t [s],a_x [m/s^2]
0.654,-0.24087
0.656,-0.30515
0.658,-0.34559
0.66,-0.36324
0.662,-0.36468
0.664,-0.35685
0.666,-0.344
0.668,-0.3288
0.67,-0.31439
0.672,-0.30442
0.674,-0.30162
0.676,-0.30685
0.678,-0.3191
0.68,-0.3361
0.682,-0.35541
0.684,-0.37523
0.686,-0.39423
0.688,-0.41091
0.69,-0.42364
0.692,-0.43151
0.694,-0.4348
0.696,-0.43399
0.698,-0.42771
0.7,-0.41148
0.702,-0.37842
0.704,-0.32284
0.706,-0.24512
0.708,-0.15231
0.71,-0.053601
0.712,0.044572
0.714,0.14015
0.716,0.23426
0.718,0.32901
0.72,0.42562
0.722,0.52304
0.724,0.61743
0.726,0.70267
0.728,0.77252
0.73,0.82292
0.732,0.85219
0.734,0.85959
0.736,0.84397
0.738,0.8046
0.74,0.74394
0.742,0.66889
0.744,0.5878
0.746,0.50632
0.748,0.42593
0.75,0.34577
0.752,0.26542
0.754,0.1867
0.756,0.11328
0.758,0.047918
0.76,-0.010666
0.762,-0.067771
0.764,-0.12884
0.766,-0.19575
0.768,-0.26569
0.77,-0.33247
0.772,-0.38902
0.774,-0.43027
0.776,-0.45554
0.778,-0.46835
0.78,-0.47378
0.782,-0.47528
0.784,-0.47234
0.786,-0.4597
0.788,-0.42917
0.79,-0.3738
0.792,-0.29258
0.794,-0.19174
0.796,-0.081234
0.798,0.02979
0.8,0.13415
0.802,0.22549
0.804,0.29816
0.806,0.3487
0.808,0.37678
0.81,0.38477
0.812,0.37614
0.814,0.35448
0.816,0.32403
0.818,0.2902
0.82,0.25869
0.822,0.23378
0.824,0.21755
0.826,0.2105
0.828,0.21286
0.83,0.22557
0.832,0.24979
0.834,0.28474
0.836,0.32598
0.838,0.36609
0.84,0.39735
0.842,0.41398
0.844,0.41187
0.846,0.3881
0.848,0.34295
0.85,0.28139
0.852,0.2109
0.854,0.13764
0.856,0.064263
0.858,-0.0090203
0.86,-0.081541
0.862,-0.15004
0.864,-0.20935
0.866,-0.25557
0.868,-0.28836
0.87,-0.30997
0.872,-0.32243
0.874,-0.32557
0.876,-0.31707
0.878,-0.29459
0.88,-0.25899
0.882,-0.21604
0.884,-0.17442
0.886,-0.14194
0.888,-0.12348
0.89,-0.12065
0.892,-0.13192
0.894,-0.15271
0.896,-0.17648
0.898,-0.19699
0.9,-0.2103
0.902,-0.21508
0.904,-0.21119
0.906,-0.1976
0.908,-0.17145
0.91,-0.12954
0.912,-0.071931
0.914,-0.0048532
0.916,0.060427
0.918,0.11272
0.92,0.14564
0.922,0.15825
0.924,0.15272
0.926,0.13298
0.928,0.10513
0.93,0.077167
0.932,0.056205
0.934,0.045294
0.936,0.043768
0.938,0.049894
0.94,0.061796
0.942,0.076405
0.944,0.08855
0.946,0.091607
0.948,0.079493
0.95,0.049023
0.952,0.0010115
0.954,-0.060632
0.956,-0.13084
0.958,-0.2054
0.96,-0.28131
0.962,-0.35502
0.964,-0.42077
0.966,-0.47159
0.968,-0.5026
0.97,-0.51233
0.972,-0.50016
0.974,-0.46471
0.976,-0.40677
0.978,-0.33211
0.98,-0.24951
0.982,-0.16645
0.984,-0.08733
0.986,-0.014838
0.988,0.048609
0.99,0.10118
0.992,0.1426
0.994,0.17415
0.996,0.19781
0.998,0.21579
1,0.23027
1.002,0.24311
1.004,0.25577
1.006,0.26909
1.008,0.28324
1.01,0.298
1.012,0.31289
1.014,0.32722
1.016,0.34013
1.018,0.35098
1.02,0.35967
1.022,0.36651
1.024,0.37157
1.026,0.37465
1.028,0.37573
1.03,0.3755
1.032,0.37557
1.034,0.37779
1.036,0.38324
1.038,0.39144
1.04,0.4004
1.042,0.40747
1.044,0.41003
1.046,0.40572
1.048,0.39265
1.05,0.36996
1.052,0.33851
1.054,0.30094
1.056,0.26018
1.058,0.21827
1.06,0.17709
1.062,0.13893
1.064,0.1053
1.066,0.07612
1.068,0.050762
1.07,0.028875
1.072,0.010216
1.074,-0.0056951
1.076,-0.019855
1.078,-0.034001
1.08,-0.050185
1.082,-0.069877
1.084,-0.093547
1.086,-0.12055
1.088,-0.14903
1.09,-0.17649
1.092,-0.20077
1.094,-0.22058
1.096,-0.23594
1.098,-0.24865
1.1,-0.262
1.102,-0.27945
1.104,-0.30274
1.106,-0.33088
1.108,-0.36121
1.11,-0.39141
1.112,-0.42098
1.114,-0.45106
1.116,-0.48279
1.118,-0.51553
1.12,-0.54655
1.122,-0.57246
1.124,-0.5909
1.126,-0.60171
1.128,-0.6064
1.13,-0.60678
1.132,-0.6041
1.134,-0.59929
1.136,-0.59376
1.138,-0.59004
1.14,-0.59203
1.142,-0.60475
1.144,-0.63295
1.146,-0.67897
1.148,-0.74087
1.15,-0.81276
1.152,-0.88812
1.154,-0.96336
1.156,-1.0383
1.158,-1.1139
1.16,-1.189
1.162,-1.2591
1.164,-1.3177
1.166,-1.3605
1.168,-1.3876
1.17,-1.4019
1.172,-1.4065
1.174,-1.4024
1.176,-1.3875
1.178,-1.3587
1.18,-1.3135
1.182,-1.2522
1.184,-1.1775
1.186,-1.0945
1.188,-1.0096
1.19,-0.92992
1.192,-0.86009
1.194,-0.80022
1.196,-0.74741
1.198,-0.69923
1.2,-0.65521
1.202,-0.61604
1.204,-0.58164
1.206,-0.55043
1.208,-0.52042
1.21,-0.48975
1.212,-0.45537
1.214,-0.41207
1.216,-0.35416
1.218,-0.27903
1.22,-0.18979
1.222,-0.093334
1.224,0.0039564
1.226,0.098727
1.228,0.1907
1.23,0.28151
1.232,0.37326
1.234,0.46742
1.236,0.5638
1.238,0.65992
1.24,0.75117
1.242,0.83267
1.244,0.90255
1.246,0.96365
1.248,1.0212
1.25,1.0786
1.252,1.1351
1.254,1.1874
1.256,1.2317
1.258,1.2665
1.26,1.2934
1.262,1.3144
1.264,1.3301
1.266,1.34
1.268,1.3434
1.27,1.3405
1.272,1.3309
1.274,1.3135
1.276,1.2854
1.278,1.2432
1.28,1.1852
1.282,1.1139
1.284,1.0349
1.286,0.95389
1.288,0.87358
1.29,0.7939
1.292,0.71356
1.294,0.63182
1.296,0.55014
1.298,0.47327
1.3,0.40808
1.302,0.36004
1.304,0.32987
1.306,0.3138
1.308,0.3069
1.31,0.30605
1.312,0.31072
1.314,0.32182
1.316,0.34024
1.318,0.36584
1.32,0.39705
1.322,0.43108
1.324,0.46456
1.326,0.494
1.328,0.51589
1.33,0.52752
1.332,0.52828
1.334,0.52014
1.336,0.50653
1.338,0.49043
1.34,0.47328
1.342,0.45501
1.344,0.4352
1.346,0.4138
1.348,0.39073
1.35,0.36524
1.352,0.33654
1.354,0.30498
1.356,0.27214
1.358,0.24035
1.36,0.21204
1.362,0.18933
1.364,0.17354
1.366,0.16499
1.368,0.16316
1.37,0.16667
1.372,0.17327
1.374,0.18007
1.376,0.18399
1.378,0.18183
1.38,0.17019
1.382,0.14504
1.384,0.10145
1.386,0.035108
1.388,-0.053922
1.39,-0.1592
1.392,-0.27147
1.394,-0.38436
1.396,-0.49701
1.398,-0.61184
1.4,-0.7296
1.402,-0.84499
1.404,-0.94613
1.406,-1.0201
1.408,-1.0615
1.41,-1.0751
1.412,-1.068
1.414,-1.04
1.416,-0.98428
1.418,-0.89654
1.42,-0.78228
1.422,-0.65329
1.424,-0.51959
1.426,-0.38612
1.428,-0.2565
1.43,-0.13871
1.432,-0.04555
1.434,0.011365
1.436,0.027459
1.438,0.0045377
1.44,-0.05224
1.442,-0.1337
1.444,-0.22509
1.446,-0.30959
1.448,-0.3755
1.45,-0.42062
1.452,-0.44976
1.454,-0.46852
1.456,-0.47959
1.458,-0.48309
1.46,-0.4782
1.462,-0.46477
1.464,-0.44403
1.466,-0.41822
1.468,-0.3893
1.47,-0.35883
1.472,-0.32916
1.474,-0.30416
1.476,-0.28818
1.478,-0.28429
1.48,-0.29295
1.482,-0.31236
1.484,-0.34073
1.486,-0.37883
1.488,-0.42992
1.49,-0.49648
1.492,-0.57684
1.494,-0.66558
1.496,-0.75736
1.498,-0.84988
1.5,-0.94233
1.502,-1.0314
1.504,-1.1101
1.506,-1.1705
1.508,-1.209
1.51,-1.2291
1.512,-1.2398
1.514,-1.2516
1.516,-1.2711
1.518,-1.2984
1.52,-1.3285
1.522,-1.3533
1.524,-1.3656
1.526,-1.3612
1.528,-1.34
1.53,-1.3054
1.532,-1.2632
1.534,-1.2186
1.536,-1.1734
1.538,-1.1227
1.54,-1.0562
1.542,-0.96562
1.544,-0.85181
1.546,-0.72387
1.548,-0.59191
1.55,-0.46191
1.552,-0.33519
1.554,-0.21014
1.556,-0.08433
1.558,0.043092
1.56,0.16945
1.562,0.28855
1.564,0.39357
1.566,0.48132
1.568,0.55368
1.57,0.61507
1.572,0.67027
1.574,0.72351
1.576,0.77699
1.578,0.83058
1.58,0.88288
1.582,0.93188
1.584,0.97471
1.586,1.0086
1.588,1.0322
1.59,1.0463
1.592,1.053
1.594,1.0552
1.596,1.0567
1.598,1.0606
1.6,1.069
1.602,1.0829
1.604,1.1025
1.606,1.1271
1.608,1.1552
1.61,1.1837
1.612,1.2087
1.614,1.2271
1.616,1.2377
1.618,1.2417
1.62,1.2417
1.622,1.2403
1.624,1.2408
1.626,1.2461
1.628,1.2578
1.63,1.2757
1.632,1.2977
1.634,1.3204
1.636,1.3409
1.638,1.358
1.64,1.3727
1.642,1.3875
1.644,1.4052
1.646,1.4282
1.648,1.4579
1.65,1.4946
1.652,1.5377
1.654,1.5848
1.656,1.6319
1.658,1.6758
1.66,1.7151
1.662,1.7506
1.664,1.7832
1.666,1.8129
1.668,1.839
1.67,1.8593
1.672,1.8723
1.674,1.8778
1.676,1.8767
1.678,1.8683
1.68,1.8477
1.682,1.806
1.684,1.7331
1.686,1.6258
1.688,1.4917
1.69,1.3452
1.692,1.1985
1.694,1.0562
1.696,0.91674
1.698,0.7768
1.7,0.63487
1.702,0.492
1.704,0.35032
1.706,0.21088
1.708,0.072059
1.71,-0.069811
1.712,-0.2168
1.714,-0.3644
1.716,-0.49973
1.718,-0.60654
1.72,-0.67508
1.722,-0.70812
1.724,-0.71663
1.726,-0.71115
1.728,-0.69756
1.73,-0.67847
1.732,-0.65578
1.734,-0.63174
1.736,-0.60848
1.738,-0.58774
1.74,-0.5711
1.742,-0.56015
1.744,-0.55597
1.746,-0.55823
1.748,-0.56495
1.75,-0.57349
1.752,-0.58177
1.754,-0.58861
1.756,-0.59349
1.758,-0.5962
1.76,-0.59663
1.762,-0.59437
1.764,-0.58859
1.766,-0.57836
1.768,-0.56305
1.77,-0.54268
1.772,-0.51825
1.774,-0.49218
1.776,-0.46816
1.778,-0.45028
1.78,-0.44157
1.782,-0.44334
1.784,-0.45535
1.786,-0.47576
1.788,-0.50056
1.79,-0.52339
1.792,-0.53752
1.794,-0.53971
1.796,-0.53184
1.798,-0.51932
1.8,-0.5083
1.802,-0.50361
1.804,-0.50808
1.806,-0.52274
1.808,-0.54757
1.81,-0.5823
1.812,-0.62661
1.814,-0.67907
1.816,-0.73645
1.818,-0.79448
1.82,-0.84986
1.822,-0.90153
1.824,-0.94957
1.826,-0.99322
1.828,-1.0311
1.83,-1.0634
1.832,-1.0925
1.834,-1.1214
1.836,-1.1521
1.838,-1.1847
1.84,-1.2181
1.842,-1.2516
1.844,-1.285
1.846,-1.3181
1.848,-1.3501
1.85,-1.3798
1.852,-1.4056
1.854,-1.4259
1.856,-1.4403
1.858,-1.4497
1.86,-1.4549
1.862,-1.4564
1.864,-1.4548
1.866,-1.4516
1.868,-1.4483
1.87,-1.4438
1.872,-1.4323
1.874,-1.4039
1.876,-1.3499
1.878,-1.2678
1.88,-1.1642
1.882,-1.0525
1.884,-0.94684
1.886,-0.85799
1.888,-0.79071
1.89,-0.7441
1.892,-0.71414
1.894,-0.69613
1.896,-0.68572
1.898,-0.67967
1.9,-0.67657
1.902,-0.67619
1.904,-0.67668
1.906,-0.67078
1.908,-0.64472
1.91,-0.58414
1.912,-0.48418
1.914,-0.35411
1.916,-0.21054
1.918,-0.066587
1.92,0.073016
1.922,0.20964
1.924,0.34597
1.926,0.48315
1.928,0.62086
1.93,0.75892
1.932,0.89811
1.934,1.0388
1.936,1.1784
1.938,1.3092
1.94,1.4224
1.942,1.513
1.944,1.5832
1.946,1.6387
1.948,1.685
1.95,1.7246
1.952,1.7581
1.954,1.7857
1.956,1.8078
1.958,1.8247
1.96,1.8353
1.962,1.8376
1.964,1.8296
1.966,1.8097
1.968,1.7781
1.97,1.7367
1.972,1.6888
1.974,1.6379
1.976,1.5861
1.978,1.5331
1.98,1.4779
1.982,1.4213
1.984,1.3675
1.986,1.3224
1.988,1.2899
1.99,1.2692
1.992,1.2553
1.994,1.2408
1.996,1.2191
1.998,1.1863
2,1.1428
2.002,1.0915
2.004,1.0364
2.006,0.98153
2.008,0.93124
2.01,0.8886
2.012,0.85426
2.014,0.82797
2.016,0.81069
2.018,0.80408
2.02,0.80871
2.022,0.82286
2.024,0.84268
2.026,0.86342
2.028,0.88052
2.03,0.8893
2.032,0.88462
2.034,0.86216
2.036,0.82134
2.038,0.76652
2.04,0.70497
2.042,0.64317
2.044,0.58478
2.046,0.5312
2.048,0.48313
2.05,0.44111
2.052,0.40482
2.054,0.37312
2.056,0.34517
2.058,0.32123
2.06,0.30176
2.062,0.28565
2.064,0.2694
2.066,0.24842
2.068,0.2194
2.07,0.18141
2.072,0.13503
2.074,0.080983
2.076,0.01916
2.078,-0.051179
2.08,-0.12949
2.082,-0.21212
2.084,-0.29321
2.086,-0.36782
2.088,-0.43449
2.09,-0.49575
2.092,-0.55653
2.094,-0.6213
2.096,-0.69154
2.098,-0.76511
2.1,-0.83824
2.102,-0.90858
2.104,-0.97669
2.106,-1.0447
2.108,-1.1132
2.11,-1.1794
2.112,-1.2391
2.114,-1.2892
2.116,-1.3294
2.118,-1.3614
2.12,-1.3858
2.122,-1.401
2.124,-1.4053
2.126,-1.3979
2.128,-1.38
2.13,-1.3539
2.132,-1.3228
2.134,-1.2911
2.136,-1.2626
2.138,-1.2399
2.14,-1.2249
2.142,-1.2186
2.144,-1.2214
2.146,-1.2327
2.148,-1.2504
2.15,-1.2716
2.152,-1.2938
2.154,-1.3168
2.156,-1.3411
2.158,-1.367
2.16,-1.3937
2.162,-1.4193
2.164,-1.4419
2.166,-1.4609
2.168,-1.4762
2.17,-1.488
2.172,-1.4962
2.174,-1.5003
2.176,-1.4995
2.178,-1.4937
2.18,-1.4837
2.182,-1.4709
2.184,-1.4554
2.186,-1.4352
2.188,-1.4066
2.19,-1.3661
2.192,-1.3118
2.194,-1.2437
2.196,-1.1641
2.198,-1.0779
2.2,-0.99242
2.202,-0.9159
2.204,-0.85352
2.206,-0.80432
2.208,-0.7632
2.21,-0.72562
2.212,-0.69025
2.214,-0.65766
2.216,-0.62718
2.218,-0.59566
2.22,-0.55873
2.222,-0.51292
2.224,-0.45683
2.226,-0.39055
2.228,-0.31508
2.23,-0.23275
2.232,-0.14683
2.234,-0.059913
2.236,0.02691
2.238,0.11366
2.24,0.20056
2.242,0.2876
2.244,0.37466
2.246,0.46127
2.248,0.54609
2.25,0.62704
2.252,0.70238
2.254,0.77203
2.256,0.83787
2.258,0.90266
2.26,0.96794
2.262,1.0324
2.264,1.0931
2.266,1.1475
2.268,1.1942
2.27,1.2331
2.272,1.265
2.274,1.2915
2.276,1.315
2.278,1.3374
2.28,1.3597
2.282,1.3815
2.284,1.4022
2.286,1.4212
2.288,1.4372
2.29,1.4491
2.292,1.4558
2.294,1.4565
2.296,1.4504
2.298,1.4363
2.3,1.4134
2.302,1.3817
2.304,1.3419
2.306,1.2936
2.308,1.2365
2.31,1.1712
2.312,1.1013
2.314,1.0311
2.316,0.96454
2.318,0.90313
2.32,0.84582
2.322,0.79072
2.324,0.73848
2.326,0.69234
2.328,0.65531
2.33,0.62903
2.332,0.6135
2.334,0.60735
2.336,0.60914
2.338,0.61811
2.34,0.63382
2.342,0.65538
2.344,0.68127
2.346,0.70974
2.348,0.73882
2.35,0.76607
2.352,0.78871
2.354,0.80416
2.356,0.81065
2.358,0.8071
2.36,0.79212
2.362,0.76322
2.364,0.71756
2.366,0.65465
2.368,0.57911
2.37,0.50021
2.372,0.42763
2.374,0.36693
2.376,0.31853
2.378,0.28091
2.38,0.25322
2.382,0.23466
2.384,0.22283
2.386,0.21347
2.388,0.20139
2.39,0.18248
2.392,0.15562
2.394,0.12221
2.396,0.0838
2.398,0.040764
2.4,-0.0075152
2.402,-0.061915
2.404,-0.12262
2.406,-0.18856
2.408,-0.25737
2.41,-0.32593
2.412,-0.39168
2.414,-0.45328
2.416,-0.50961
2.418,-0.55848
2.42,-0.59795
2.422,-0.62922
2.424,-0.65732
2.426,-0.68761
2.428,-0.72037
2.43,-0.75002
2.432,-0.77106
2.434,-0.78236
2.436,-0.78624
2.438,-0.78614
2.44,-0.78495
2.442,-0.78446
2.444,-0.7851
2.446,-0.78623
2.448,-0.78648
2.45,-0.78409
2.452,-0.77773
2.454,-0.76761
2.456,-0.75547
2.458,-0.74345
2.46,-0.73286
2.462,-0.72377
2.464,-0.71593
2.466,-0.70964
2.468,-0.70563
2.47,-0.70416
2.472,-0.70476
2.474,-0.70675
2.476,-0.70967
2.478,-0.7136
2.48,-0.71907
2.482,-0.72672
2.484,-0.73696
2.486,-0.74995
2.488,-0.76552
2.49,-0.78305
2.492,-0.80209
2.494,-0.82309
2.496,-0.84676
2.498,-0.87267
2.5,-0.89893
2.502,-0.92317
2.504,-0.94378
2.506,-0.96099
2.508,-0.97667
2.51,-0.99296
2.512,-1.0106
2.514,-1.0283
2.516,-1.0429
2.518,-1.0521
2.52,-1.055
2.522,-1.0529
2.524,-1.0467
2.526,-1.0366
2.528,-1.0204
2.53,-0.99475
2.532,-0.9559
2.534,-0.90191
2.536,-0.83382
2.538,-0.75564
2.54,-0.67352
2.542,-0.59367
2.544,-0.51984
2.546,-0.45181
2.548,-0.38646
2.55,-0.32094
2.552,-0.25441
2.554,-0.18739
2.556,-0.12073
2.558,-0.054586
2.56,0.01205
2.562,0.080176
2.564,0.14847
2.566,0.21361
2.568,0.27443
2.57,0.33275
2.572,0.39025
2.574,0.4469
2.576,0.50178
2.578,0.55395
2.58,0.60277
2.582,0.64862
2.584,0.69318
2.586,0.73816
2.588,0.78314
2.59,0.825
2.592,0.86022
2.594,0.88751
2.596,0.90823
2.598,0.9247
