t [s],a_x [m/s^2]
2.924,0.67817
2.926,0.68191
2.928,0.67987
2.93,0.67203
2.932,0.65947
2.934,0.64396
2.936,0.62745
2.938,0.61133
2.94,0.59593
2.942,0.58116
2.944,0.56773
2.946,0.55718
2.948,0.55075
2.95,0.5484
2.952,0.54898
2.954,0.55093
2.956,0.55288
2.958,0.5537
2.96,0.5521
2.962,0.54639
2.964,0.53514
2.966,0.51855
2.968,0.49859
2.97,0.47775
2.972,0.45754
2.974,0.43816
2.976,0.41941
2.978,0.40182
2.98,0.38725
2.982,0.37773
2.984,0.37337
2.986,0.37174
2.988,0.36896
2.99,0.36146
2.992,0.34715
2.994,0.32571
2.996,0.2983
2.998,0.26698
3,0.23404
3.002,0.20138
3.004,0.17006
3.006,0.14039
3.008,0.1129
3.01,0.088538
3.012,0.067741
3.014,0.049765
3.016,0.032975
3.018,0.01563
3.02,-0.0035679
3.022,-0.025252
3.024,-0.049533
3.026,-0.076217
3.028,-0.10492
3.03,-0.13483
3.032,-0.16449
3.034,-0.19232
3.036,-0.21758
3.038,-0.24063
3.04,-0.26219
3.042,-0.28225
3.044,-0.29997
3.046,-0.31468
3.048,-0.3268
3.05,-0.3374
3.052,-0.34707
3.054,-0.35599
3.056,-0.36493
3.058,-0.37522
3.06,-0.38759
3.062,-0.40162
3.064,-0.41634
3.066,-0.43092
3.068,-0.44483
3.07,-0.45756
3.072,-0.46819
3.074,-0.47572
3.076,-0.47991
3.078,-0.48141
3.08,-0.48138
3.082,-0.48077
3.084,-0.48003
3.086,-0.47908
3.088,-0.47748
3.09,-0.47444
3.092,-0.46901
3.094,-0.46093
3.096,-0.45111
3.098,-0.44093
3.1,-0.43105
3.102,-0.4209
3.104,-0.40933
3.106,-0.39579
3.108,-0.38079
3.11,-0.36566
3.112,-0.35202
3.114,-0.34104
3.116,-0.33273
3.118,-0.32589
3.12,-0.31906
3.122,-0.31143
3.124,-0.3028
3.126,-0.29321
3.128,-0.28297
3.13,-0.27264
3.132,-0.26253
3.134,-0.25223
3.136,-0.24046
3.138,-0.22567
3.14,-0.20717
3.142,-0.1857
3.144,-0.16292
3.146,-0.14036
3.148,-0.11839
3.15,-0.096191
3.152,-0.072785
3.154,-0.048249
3.156,-0.023524
3.158,0.0011405
3.16,0.026802
3.162,0.054994
3.164,0.086421
3.166,0.12038
3.168,0.15523
3.17,0.18932
3.172,0.22181
3.174,0.25246
3.176,0.28108
3.178,0.30749
3.18,0.33225
3.182,0.3564
3.184,0.38051
3.186,0.40442
3.188,0.42803
3.19,0.45156
3.192,0.47544
3.194,0.49977
3.196,0.52427
3.198,0.54866
3.2,0.5728
3.202,0.59622
3.204,0.61811
3.206,0.6375
3.208,0.65342
3.21,0.66524
3.212,0.67322
3.214,0.67806
3.216,0.68025
3.218,0.67977
3.22,0.67617
3.222,0.66899
3.224,0.65804
3.226,0.64339
3.228,0.62511
3.23,0.60308
3.232,0.57735
3.234,0.5486
3.236,0.51814
3.238,0.48715
3.24,0.45558
3.242,0.42202
3.244,0.38506
3.246,0.34508
3.248,0.30404
3.25,0.26294
3.252,0.22055
3.254,0.176
3.256,0.13105
3.258,0.088608
3.26,0.049811
3.262,0.013952
3.264,-0.019678
3.266,-0.050814
3.268,-0.078717
3.27,-0.10304
3.272,-0.12448
3.274,-0.14464
3.276,-0.16495
3.278,-0.18564
3.28,-0.20558
3.282,-0.22323
3.284,-0.23787
3.286,-0.24987
3.288,-0.26
3.29,-0.26881
3.292,-0.27645
3.294,-0.28294
3.296,-0.28851
3.298,-0.29336
3.3,-0.29744
3.302,-0.3004
3.304,-0.302
3.306,-0.30253
3.308,-0.30281
3.31,-0.30354
3.312,-0.30461
3.314,-0.30492
3.316,-0.30315
3.318,-0.29849
3.32,-0.29082
3.322,-0.28049
3.324,-0.26835
3.326,-0.25527
3.328,-0.24165
3.33,-0.22779
3.332,-0.21457
3.334,-0.20307
3.336,-0.19376
3.338,-0.18644
3.34,-0.18098
3.342,-0.17737
3.344,-0.17503
3.346,-0.17248
3.348,-0.16837
3.35,-0.16271
3.352,-0.15677
3.354,-0.15143
3.356,-0.14605
3.358,-0.13913
3.36,-0.12976
3.362,-0.11824
3.364,-0.10528
3.366,-0.091232
3.368,-0.076078
3.37,-0.060557
3.372,-0.046438
3.374,-0.034933
3.376,-0.025498
3.378,-0.016607
3.38,-0.0073417
3.382,0.0016678
3.384,0.0087188
3.386,0.012557
3.388,0.013509
3.39,0.013426
3.392,0.014498
3.394,0.01756
3.396,0.021593
3.398,0.024952
3.4,0.026709
3.402,0.02678
3.404,0.0253
3.406,0.022351
3.408,0.018268
3.41,0.01377
3.412,0.0094156
3.414,0.0051612
3.416,0.00078221
3.418,-0.0032255
3.42,-0.0051693
3.422,-0.0028069
3.424,0.0052278
3.426,0.018556
3.428,0.035491
3.43,0.053896
3.432,0.072271
3.434,0.091152
3.436,0.11342
3.438,0.14212
3.44,0.17676
3.442,0.21258
3.444,0.24454
3.446,0.27073
3.448,0.29183
3.45,0.30946
3.452,0.32521
3.454,0.34011
3.456,0.35437
3.458,0.36779
3.46,0.38037
3.462,0.39208
3.464,0.4025
3.466,0.41096
3.468,0.41722
3.47,0.42147
3.472,0.42399
3.474,0.42494
3.476,0.42401
3.478,0.42028
3.48,0.41259
3.482,0.39995
3.484,0.38173
3.486,0.35796
3.488,0.32968
3.49,0.2988
3.492,0.2674
3.494,0.23653
3.496,0.20554
3.498,0.17313
3.5,0.13892
3.502,0.10401
3.504,0.070532
3.506,0.039705
3.508,0.010187
3.51,-0.021005
3.512,-0.055681
3.514,-0.092716
3.516,-0.12897
3.518,-0.16236
3.52,-0.1938
3.522,-0.22583
3.524,-0.26017
3.526,-0.29643
3.528,-0.33229
3.53,-0.36512
3.532,-0.39333
3.534,-0.41684
3.536,-0.43642
3.538,-0.45253
3.54,-0.46461
3.542,-0.47185
3.544,-0.47473
3.546,-0.47503
3.548,-0.47432
3.55,-0.47279
3.552,-0.4696
3.554,-0.46415
3.556,-0.45692
3.558,-0.44904
3.56,-0.44144
3.562,-0.43461
3.564,-0.42841
3.566,-0.42175
3.568,-0.41293
3.57,-0.40052
3.572,-0.38402
3.574,-0.36412
3.576,-0.3418
3.578,-0.31717
3.58,-0.28951
3.582,-0.25844
3.584,-0.22524
3.586,-0.19241
3.588,-0.16224
3.59,-0.13577
3.592,-0.11286
3.594,-0.092571
3.596,-0.073823
3.598,-0.056062
3.6,-0.039921
3.602,-0.027069
3.604,-0.018966
3.606,-0.015819
3.608,-0.016755
3.61,-0.020727
3.612,-0.027049
3.614,-0.035377
3.616,-0.045313
3.618,-0.055806
3.62,-0.065154
3.622,-0.071851
3.624,-0.075661
3.626,-0.07776
3.628,-0.079645
3.63,-0.082023
3.632,-0.084511
3.634,-0.08598
3.636,-0.085415
3.638,-0.082856
3.64,-0.079237
3.642,-0.075179
3.644,-0.070399
3.646,-0.064585
3.648,-0.058344
3.65,-0.052702
3.652,-0.047904
3.654,-0.043228
3.656,-0.037887
3.658,-0.031924
3.66,-0.026071
3.662,-0.020757
3.664,-0.015395
3.666,-0.0087706
3.668,-0.00015618
3.67,0.010226
3.672,0.021904
3.674,0.034881
3.676,0.049232
3.678,0.064609
3.68,0.080282
3.682,0.095333
3.684,0.10908
3.686,0.1213
3.688,0.13193
3.69,0.1409
3.692,0.14839
3.694,0.15492
3.696,0.16064
3.698,0.165
3.7,0.16741
3.702,0.16803
3.704,0.16769
3.706,0.16738
3.708,0.16757
3.71,0.16798
3.712,0.16764
3.714,0.16545
3.716,0.16083
3.718,0.15402
3.72,0.1458
3.722,0.13698
3.724,0.1282
3.726,0.11982
3.728,0.11198
3.73,0.10469
3.732,0.097699
3.734,0.090419
3.736,0.082404
3.738,0.073609
3.74,0.063819
3.742,0.052383
3.744,0.039057
3.746,0.024673
3.748,0.010826
3.75,-0.0010735
3.752,-0.010686
3.754,-0.018807
3.756,-0.026484
3.758,-0.034041
3.76,-0.040995
3.762,-0.046993
3.764,-0.052648
3.766,-0.058957
3.768,-0.065914
3.77,-0.071992
3.772,-0.075226
3.774,-0.074627
3.776,-0.070562
3.778,-0.064295
3.78,-0.057449
3.782,-0.051626
3.784,-0.047621
3.786,-0.044758
3.788,-0.041579
3.79,-0.037269
3.792,-0.032128
3.794,-0.026931
3.796,-0.022418
3.798,-0.018925
3.8,-0.015916
3.802,-0.012281
3.804,-0.0072836
3.806,-0.0012409
3.808,0.00459
3.81,0.00916
3.812,0.012669
3.814,0.016041
3.816,0.019647
3.818,0.023212
3.82,0.026916
3.822,0.031775
3.824,0.038889
3.826,0.048571
3.828,0.060089
3.83,0.07224
3.832,0.08445
3.834,0.097222
3.836,0.1111
3.838,0.12539
3.84,0.13859
3.842,0.14942
3.844,0.15677
3.846,0.15933
3.848,0.15645
3.85,0.149
3.852,0.13855
3.854,0.12587
3.856,0.11135
3.858,0.096084
3.86,0.081758
3.862,0.0696
3.864,0.059552
3.866,0.05033
3.868,0.040377
3.87,0.028748
3.872,0.015384
3.874,0.0011927
3.876,-0.01239
3.878,-0.02476
3.88,-0.036562
3.882,-0.048638
3.884,-0.061146
3.886,-0.073481
3.888,-0.084873
3.89,-0.094984
3.892,-0.10361
3.894,-0.10999
3.896,-0.11319
3.898,-0.11306
3.9,-0.1105
3.902,-0.10654
3.904,-0.1014
3.906,-0.094463
3.908,-0.08507
3.91,-0.073055
3.912,-0.058908
3.914,-0.043677
3.916,-0.028429
3.918,-0.013672
3.92,0.00063351
3.922,0.014796
3.924,0.029168
3.926,0.044048
3.928,0.059217
3.93,0.073567
3.932,0.085771
3.934,0.09525
3.936,0.10219
3.938,0.10664
3.94,0.10812
3.942,0.1065
3.944,0.10251
3.946,0.096927
3.948,0.089623
3.95,0.080209
3.952,0.069229
3.954,0.057982
3.956,0.047412
3.958,0.03776
3.96,0.02907
3.962,0.021214
3.964,0.013632
3.966,0.0055694
3.968,-0.0034407
3.97,-0.013272
3.972,-0.023468
3.974,-0.033445
3.976,-0.042293
3.978,-0.049126
3.98,-0.053643
3.982,-0.056037
3.984,-0.05668
3.986,-0.056069
3.988,-0.054813
3.99,-0.053308
3.992,-0.05161
3.994,-0.04967
3.996,-0.04741
3.998,-0.044619
4,-0.041132
4.002,-0.037101
4.004,-0.032871
4.006,-0.028591
4.008,-0.023781
4.01,-0.017469
4.012,-0.0090002
4.014,0.0014676
4.016,0.013423
4.018,0.026837
4.02,0.042109
4.022,0.059046
4.024,0.076456
4.026,0.092995
4.028,0.10802
4.03,0.12159
4.032,0.13428
4.034,0.14658
4.036,0.15839
4.038,0.16918
4.04,0.1787
4.042,0.18691
4.044,0.19333
4.046,0.19687
4.048,0.19632
4.05,0.19098
4.052,0.1813
4.054,0.16905
4.056,0.1564
4.058,0.14469
4.06,0.13384
4.062,0.1227
4.064,0.11021
4.066,0.09612
4.068,0.080874
4.07,0.065056
4.072,0.049038
4.074,0.032724
4.076,0.015634
4.078,-0.0024207
4.08,-0.020999
4.082,-0.03951
4.084,-0.057239
4.086,-0.073098
4.088,-0.085955
4.09,-0.095319
4.092,-0.10136
4.094,-0.10438
4.096,-0.10471
4.098,-0.10277
4.1,-0.099077
4.102,-0.09419
4.104,-0.088744
4.106,-0.083561
4.108,-0.079462
4.11,-0.076919
4.112,-0.076168
4.114,-0.077479
4.116,-0.080662
4.118,-0.084529
4.12,-0.087598
4.122,-0.089548
4.124,-0.09147
4.126,-0.094555
4.128,-0.098749
4.13,-0.10288
4.132,-0.10591
4.134,-0.10745
4.136,-0.10737
4.138,-0.10563
4.14,-0.1026
4.142,-0.098959
4.144,-0.095244
4.146,-0.091474
4.148,-0.087235
4.15,-0.082194
4.152,-0.076544
4.154,-0.070832
4.156,-0.065396
4.158,-0.060218
4.16,-0.055221
4.162,-0.050293
4.164,-0.045038
4.166,-0.038998
4.168,-0.032335
4.17,-0.026043
4.172,-0.021342
4.174,-0.018799
4.176,-0.017995
4.178,-0.018097
4.18,-0.018661
4.182,-0.019817
4.184,-0.021731
4.186,-0.023956
4.188,-0.0255
4.19,-0.025606
4.192,-0.024321
4.194,-0.022293
4.196,-0.019978
4.198,-0.017014
4.2,-0.012619
4.202,-0.0066023
4.204,9.30E-05
4.206,0.0058992
4.208,0.0099508
4.21,0.012718
4.212,0.015272
4.214,0.018324
4.216,0.022011
4.218,0.026136
4.22,0.030483
4.222,0.035015
4.224,0.040028
4.226,0.045922
4.228,0.05259
4.23,0.059164
4.232,0.064402
4.234,0.067294
4.236,0.067376
4.238,0.064633
4.24,0.059426
4.242,0.052528
4.244,0.044909
4.246,0.037269
4.248,0.029579
4.25,0.020953
4.252,0.010451
4.254,-0.0015221
4.256,-0.013194
4.258,-0.023212
4.26,-0.03187
4.262,-0.040493
4.264,-0.050166
4.266,-0.060853
4.268,-0.071456
4.27,-0.080725
4.272,-0.087886
4.274,-0.092522
4.276,-0.094524
4.278,-0.094304
4.28,-0.092908
4.282,-0.091402
4.284,-0.089893
4.286,-0.087447
4.288,-0.083071
4.29,-0.076665
4.292,-0.069062
4.294,-0.061379
4.296,-0.054369
4.298,-0.048146
4.3,-0.042293
4.302,-0.036271
4.304,-0.030094
4.306,-0.024657
4.308,-0.02085
4.31,-0.018313
4.312,-0.015624
4.314,-0.011677
4.316,-0.006536
4.318,-0.00088015
4.32,0.0049448
4.322,0.010946
4.324,0.016732
4.326,0.021318
4.328,0.023879
4.33,0.024487
4.332,0.024022
4.334,0.023528
4.336,0.023624
4.338,0.024233
4.34,0.024594
4.342,0.023644
4.344,0.020754
4.346,0.016437
4.348,0.012255
4.35,0.0096122
4.352,0.0085846
4.354,0.0080202
4.356,0.0066721
4.358,0.0042355
4.36,0.0013948
4.362,-0.00098525
4.364,-0.0025687
4.366,-0.0035375
4.368,-0.0041206
4.37,-0.0044922
4.372,-0.0048683
4.374,-0.0053523
4.376,-0.0056364
4.378,-0.0049322
4.38,-0.0023959
4.382,0.0021595
4.384,0.0079826
4.386,0.013962
4.388,0.019442
4.39,0.024339
4.392,0.028568
4.394,0.031682
4.396,0.032954
4.398,0.031626
4.4,0.027448
4.402,0.021024
4.404,0.013382
4.406,0.0053559
4.408,-0.002552
4.41,-0.0097873
4.412,-0.015496
4.414,-0.018912
4.416,-0.020127
4.418,-0.020149
4.42,-0.020078
4.422,-0.02021
4.424,-0.019781
4.426,-0.017483
4.428,-0.012453
4.43,-0.0049544
4.432,0.0037515
4.434,0.012108
4.436,0.019122
4.438,0.024786
4.44,0.029696
4.442,0.034603
4.444,0.040265
4.446,0.047139
4.448,0.055017
4.45,0.063321
4.452,0.071664
4.454,0.079615
4.456,0.086305
4.458,0.091055
4.46,0.094336
4.462,0.097671
4.464,0.10235
4.466,0.1083
4.468,0.1144
4.47,0.1197
4.472,0.1242
4.474,0.1285
4.476,0.13264
4.478,0.13591
4.48,0.13775
4.482,0.13836
4.484,0.1382
4.486,0.13726
4.488,0.13507
4.49,0.1311
4.492,0.12528
4.494,0.11787
4.496,0.10934
4.498,0.10017
4.5,0.090218
4.502,0.078751
4.504,0.065464
4.506,0.051019
4.508,0.036349
4.51,0.021523
4.512,0.0055594
4.514,-0.012297
4.516,-0.031389
4.518,-0.049874
4.52,-0.065853
4.522,-0.078385
4.524,-0.08783
4.526,-0.095311
4.528,-0.10173
4.53,-0.1071
4.532,-0.11076
4.534,-0.11194
4.536,-0.11036
4.538,-0.10639
4.54,-0.1006
4.542,-0.093164
4.544,-0.083877
4.546,-0.072801
4.548,-0.060541
4.55,-0.048222
4.552,-0.037094
4.554,-0.02771
4.556,-0.0197
4.558,-0.012156
4.56,-0.004258
4.562,0.004103
4.564,0.01213
4.566,0.018635
4.568,0.022782
4.57,0.024305
4.572,0.023408
4.574,0.020682
4.576,0.016997
4.578,0.013058
4.58,0.0086808
4.582,0.0028459
4.584,-0.0050502
4.586,-0.01429
4.588,-0.023558
4.59,-0.032104
4.592,-0.040054
4.594,-0.048177
4.596,-0.057297
4.598,-0.067546
4.6,-0.078067
4.602,-0.08743
4.604,-0.094378
4.606,-0.098345
4.608,-0.099473
4.61,-0.098199
4.612,-0.094728
4.614,-0.089091
4.616,-0.081348
4.618,-0.071813
4.62,-0.061017
4.622,-0.049357
4.624,-0.03701
4.626,-0.024099
4.628,-0.010736
4.63,0.003015
4.632,0.016849
4.634,0.030049
4.636,0.041913
4.638,0.052383
4.64,0.062055
4.642,0.071393
4.644,0.08012
4.646,0.087454
4.648,0.092605
4.65,0.095107
4.652,0.094878
4.654,0.092088
4.656,0.087162
4.658,0.080802
4.66,0.073705
4.662,0.066164
4.664,0.05804
4.666,0.049149
4.668,0.039721
4.67,0.030332
4.672,0.021359
4.674,0.012715
4.676,0.0039798
4.678,-0.0052185
4.68,-0.014782
4.682,-0.024292
4.684,-0.033221
4.686,-0.040751
4.688,-0.046012
4.69,-0.048705
4.692,-0.049361
4.694,-0.048882
4.696,-0.047858
4.698,-0.046311
4.7,-0.043826
4.702,-0.039695
4.704,-0.033149
4.706,-0.024012
4.708,-0.013236
4.71,-0.0025571
4.712,0.0065698
4.714,0.013562
4.716,0.018471
4.718,0.021661
4.72,0.023548
4.722,0.024382
4.724,0.024069
4.726,0.022243
4.728,0.018788
4.73,0.014282
4.732,0.0096149
4.734,0.0051594
4.736,0.00089609
4.738,-0.0028666
4.74,-0.0054379
4.742,-0.0062427
4.744,-0.0051558
4.746,-0.0026548
4.748,8.74E-05
4.75,0.001522
4.752,0.00051329
4.754,-0.0030918
4.756,-0.0085674
4.758,-0.014888
4.76,-0.021367
4.762,-0.027926
4.764,-0.034554
4.766,-0.040702
4.768,-0.045452
4.77,-0.048276
4.772,-0.049475
4.774,-0.049679
4.776,-0.049037
4.778,-0.047084
4.78,-0.043488
4.782,-0.038835
4.784,-0.034325
4.786,-0.030621
4.788,-0.02736
4.79,-0.023457
4.792,-0.01755
4.794,-0.0088149
4.796,0.0020397
4.798,0.012908
4.8,0.021932
4.802,0.02908
4.804,0.036018
4.806,0.044455
4.808,0.05473
4.81,0.065946
4.812,0.076776
4.814,0.085782
4.816,0.091741
4.818,0.09438
4.82,0.094684
4.822,0.094227
4.824,0.094146
4.826,0.094487
4.828,0.094245
4.83,0.09203
4.832,0.087013
4.834,0.079475
4.836,0.07047
4.838,0.06098
4.84,0.051448
4.842,0.041982
4.844,0.032443
4.846,0.022562
4.848,0.012344
4.85,0.0019359
4.852,-0.0086775
4.854,-0.019366
4.856,-0.029541
4.858,-0.038536
4.86,-0.04606
4.862,-0.052273
4.864,-0.057835
4.866,-0.063472
4.868,-0.069127
4.87,-0.073857
4.872,-0.076717
4.874,-0.077611
4.876,-0.077264
4.878,-0.076593
4.88,-0.076226
4.882,-0.07639
4.884,-0.076958
4.886,-0.077445
4.888,-0.077035
4.89,-0.074871
4.892,-0.070618
4.894,-0.064864
4.896,-0.058933
4.898,-0.054103
4.9,-0.050649
4.902,-0.047685
4.904,-0.044084
4.906,-0.039843
4.908,-0.036488
4.91,-0.035789
4.912,-0.038086
4.914,-0.041977
4.916,-0.045474
4.918,-0.047476
4.92,-0.048533
4.922,-0.050273
4.924,-0.053896
4.926,-0.059018
4.928,-0.06366
4.93,-0.06544
4.932,-0.063176
4.934,-0.057652
4.936,-0.05108
4.938,-0.045463
4.94,-0.041309
4.942,-0.037533
4.944,-0.032154
4.946,-0.023611
4.948,-0.011843
4.95,0.0019737
4.952,0.016239
4.954,0.029504
4.956,0.040738
4.958,0.049335
4.96,0.055189
4.962,0.058869
4.964,0.061159
4.966,0.062326
4.968,0.062157
4.97,0.060447
4.972,0.057445
4.974,0.053834
4.976,0.050329
4.978,0.047286
4.98,0.044615
4.982,0.042041
4.984,0.039589
4.986,0.037707
4.988,0.036782
4.99,0.036801
4.992,0.037382
4.994,0.037897
4.996,0.037546
4.998,0.035512
5,0.031273
5.002,0.024764
5.004,0.016259
5.006,0.0062946
5.008,-0.0042593
5.01,-0.014472
5.012,-0.023973
5.014,-0.032944
5.016,-0.041265
5.018,-0.048082
5.02,-0.052286
5.022,-0.05341
5.024,-0.052031
5.026,-0.049092
5.028,-0.045015
5.03,-0.039796
5.032,-0.033659
5.034,-0.027127
5.036,-0.020525
5.038,-0.013649
5.04,-0.0061324
5.042,0.00163
5.044,0.0080766
5.046,0.011559
5.048,0.011878
5.05,0.010502
5.052,0.0092049
5.054,0.0087482
5.056,0.0087062
5.058,0.0082014
5.06,0.0067959
5.062,0.0048553
5.064,0.003057
5.066,0.0015598
5.068,-0.00014241
5.07,-0.0026307
5.072,-0.0060583
5.074,-0.010111
5.076,-0.014147
5.078,-0.017402
5.08,-0.019313
5.082,-0.019883
5.084,-0.019665
5.086,-0.01936
5.088,-0.019406
5.09,-0.01976
5.092,-0.019906
5.094,-0.019105
5.096,-0.016825
5.098,-0.01308
5.1,-0.0081996
5.102,-0.0021913
5.104,0.0053441
5.106,0.014606
5.108,0.025428
5.11,0.037714
5.112,0.051267
5.114,0.065192
5.116,0.07825
5.118,0.089817
5.12,0.10021
5.122,0.11015
5.124,0.11987
5.126,0.12857
5.128,0.13483
5.13,0.13794
5.132,0.13864
5.134,0.13841
5.136,0.13826
5.138,0.13804
5.14,0.13671
5.142,0.1334
5.144,0.1282
5.146,0.12202
5.148,0.11562
5.15,0.10914
5.152,0.10233
5.154,0.094815
5.156,0.086222
5.158,0.076318
5.16,0.064953
5.162,0.052065
5.164,0.03791
5.166,0.023216
5.168,0.0090159
5.17,-0.0037923
5.172,-0.01496
5.174,-0.025007
5.176,-0.034477
5.178,-0.042978
5.18,-0.049487
5.182,-0.053402
5.184,-0.054988
5.186,-0.055122
5.188,-0.054692
5.19,-0.054097
5.192,-0.05313
5.194,-0.051139
5.196,-0.047242
5.198,-0.040728
5.2,-0.031716
5.202,-0.021049
5.204,-0.00927
5.206,0.0036304
5.208,0.017456
5.21,0.031323
5.212,0.044106
5.214,0.05538
5.216,0.065955
5.218,0.077213
5.22,0.089842
5.222,0.1033
5.224,0.11609
5.226,0.12671
5.228,0.13481
5.23,0.14139
5.232,0.1479
5.234,0.15495
5.236,0.16159
5.238,0.16607
5.24,0.1673
5.242,0.16551
5.244,0.16187
5.246,0.15761
5.248,0.1535
5.25,0.14978
5.252,0.14647
5.254,0.14372
5.256,0.14204
5.258,0.14213
5.26,0.14417
5.262,0.1471
5.264,0.14902
5.266,0.14845
5.268,0.14562
5.27,0.14209
5.272,0.139
5.274,0.13577
5.276,0.13056
5.278,0.12195
5.28,0.11001
5.282,0.096102
5.284,0.081704
5.286,0.067312
5.288,0.052256
5.29,0.035508
5.292,0.016819
5.294,-0.0028601
5.296,-0.022178
5.298,-0.040504
5.3,-0.058035
5.302,-0.074766
5.304,-0.089774
5.306,-0.10183
5.308,-0.11057
5.31,-0.11711
5.312,-0.12331
5.314,-0.13041
5.316,-0.13828
5.318,-0.14611
5.32,-0.1533
5.322,-0.1598
5.324,-0.16577
5.326,-0.17101
5.328,-0.1749
5.33,-0.17698
5.332,-0.17737
5.334,-0.17678
5.336,-0.17609
5.338,-0.17554
5.34,-0.1744
5.342,-0.17168
5.344,-0.16727
5.346,-0.16232
5.348,-0.15829
5.35,-0.15551
5.352,-0.15302
5.354,-0.14953
5.356,-0.14413
5.358,-0.13667
5.36,-0.128
5.362,-0.11955
5.364,-0.1125
5.366,-0.10744
5.368,-0.10451
5.37,-0.10328
5.372,-0.10302
5.374,-0.10333
5.376,-0.10437
5.378,-0.10645
5.38,-0.10933
5.382,-0.11207
5.384,-0.11359
5.386,-0.11343
5.388,-0.11179
5.39,-0.10897
5.392,-0.10474
5.394,-0.098376
5.396,-0.088958
5.398,-0.07614
5.4,-0.061092
5.402,-0.046186
5.404,-0.033048
5.406,-0.021196
5.408,-0.0091229
5.41,0.0036139
5.412,0.015724
5.414,0.025377
5.416,0.031946
5.418,0.036761
5.42,0.04208
5.422,0.049
5.424,0.0566
5.426,0.062931
5.428,0.066554
5.43,0.067609
5.432,0.06754
5.434,0.067838
5.436,0.068909
5.438,0.069895
5.44,0.069528
5.442,0.067165
5.444,0.063062
5.446,0.058122
5.448,0.053238
5.45,0.048558
5.452,0.04354
5.454,0.037381
5.456,0.029311
5.458,0.019163
5.46,0.0076865
5.462,-0.0039406
5.464,-0.01492
5.466,-0.025102
5.468,-0.034358
5.47,-0.042214
5.472,-0.048268
5.474,-0.052675
5.476,-0.05585
5.478,-0.057811
5.48,-0.058054
5.482,-0.056424
5.484,-0.053877
5.486,-0.051628
5.488,-0.049836
5.49,-0.047527
5.492,-0.043829
5.494,-0.039062
5.496,-0.03468
5.498,-0.032088
5.5,-0.031492
5.502,-0.03184
5.504,-0.031658
5.506,-0.030028
5.508,-0.027089
5.51,-0.023747
5.512,-0.020797
5.514,-0.018226
5.516,-0.015198
5.518,-0.010791
5.52,-0.0047088
5.522,0.0027911
5.524,0.011274
5.526,0.020225
5.528,0.028986
5.53,0.037023
5.532,0.044287
5.534,0.050987
5.536,0.057231
5.538,0.0632
5.54,0.069075
5.542,0.074547
5.544,0.078937
5.546,0.082037
5.548,0.084537
5.55,0.087386
5.552,0.090865
5.554,0.094259
5.556,0.096234
5.558,0.09565
5.56,0.092253
5.562,0.08685
5.564,0.080722
5.566,0.074713
5.568,0.068985
5.57,0.063337
5.572,0.057617
5.574,0.051907
5.576,0.046342
5.578,0.041068
5.58,0.036231
5.582,0.03196
5.584,0.028337
5.586,0.025129
5.588,0.021759
5.59,0.017942
5.592,0.014085
5.594,0.010728
5.596,0.0078543
5.598,0.005049
5.6,0.002057
5.602,-0.0010642
5.604,-0.0041517
5.606,-0.0071545
5.608,-0.010011
5.61,-0.012277
5.612,-0.013145
5.614,-0.012177
5.616,-0.0097724
5.618,-0.0068749
5.62,-0.0042925
5.622,-0.0025367
5.624,-0.0020065
5.626,-0.0030817
5.628,-0.0059245
5.63,-0.010079
5.632,-0.014554
5.634,-0.018673
5.636,-0.022778
5.638,-0.027865
5.64,-0.034515
5.642,-0.042158
5.644,-0.049665
5.646,-0.056588
5.648,-0.063276
5.65,-0.069931
5.652,-0.076253
5.654,-0.08189
5.656,-0.08668
5.658,-0.090644
5.66,-0.0939
5.662,-0.096539
5.664,-0.098676
5.666,-0.10049
5.668,-0.10193
5.67,-0.10241
5.672,-0.10115
5.674,-0.097932
5.676,-0.09327
5.678,-0.088122
5.68,-0.083452
5.682,-0.079707
5.684,-0.076525
5.686,-0.072975
5.688,-0.068171
5.69,-0.061984
5.692,-0.055334
5.694,-0.049608
5.696,-0.045424
5.698,-0.042149
5.7,-0.038771
5.702,-0.034824
5.704,-0.030399
5.706,-0.025927
5.708,-0.022291
5.71,-0.020482
5.712,-0.020761
5.714,-0.022751
5.716,-0.026404
5.718,-0.032303
5.72,-0.041068
5.722,-0.052679
5.724,-0.065954
5.726,-0.078505
5.728,-0.087973
5.73,-0.093559
5.732,-0.096327
5.734,-0.098181
5.736,-0.10037
5.738,-0.10285
5.74,-0.10478
5.742,-0.10541
5.744,-0.10472
5.746,-0.10356
5.748,-0.10286
5.75,-0.1029
5.752,-0.10311
5.754,-0.10252
5.756,-0.10045
5.758,-0.097117
5.76,-0.093446
5.762,-0.090364
5.764,-0.088048
5.766,-0.085735
5.768,-0.082258
5.77,-0.076768
5.772,-0.069108
5.774,-0.059999
5.776,-0.050789
5.778,-0.0423
5.78,-0.033965
5.782,-0.024259
5.784,-0.011924
5.786,0.00271
5.788,0.017506
5.79,0.030005
5.792,0.039145
5.794,0.045587
5.796,0.050582
5.798,0.054846
5.8,0.058489
5.802,0.061251
5.804,0.062558
5.806,0.061872
5.808,0.059506
5.81,0.056739
5.812,0.054918
5.814,0.054405
5.816,0.054363
5.818,0.05353
5.82,0.051318
5.822,0.04837
5.824,0.045953
5.826,0.044586
5.828,0.043596
5.83,0.042196
5.832,0.040419
5.834,0.038937
